"","CASE_CODE","MEMBER_STATE","AID_INSTRUMENT","CASE_TYPE","START_DATE","END_DATE","NOTIFICATION_DATE","DECISIONS","OBJECTIVES","DECISION_DATE","DG_RESPONSIBLE","BANKS_INVOLVED"
"262","N422/2009","Germany","Guarantee, Other forms of equity intervention","Scheme","10/16/2004","12/30/2005","10/13/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, Rescuing firms in difficulty","10/26/2004","Competition DG",""
"263","N560/2008","Germany","Guarantee, Other forms of equity intervention","Scheme","10/16/2004","6/11/2005","12/10/2004","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy, Rescuing firms in difficulty","2/4/2005","Competition DG",""
"264","N428/2009","Italy","Guarantee","Scheme","10/12/2004","12/30/2005","10/15/2004","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy","12/8/2004","Competition DG",""
"265","N352/2009","United Kingdom","Other forms of equity intervention, Provision of risk capital","Ad Hoc Case","10/12/2004","12/30/2010","7/15/2005","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy","4/21/2006","Competition DG","RBS"
"266","N358/2009","United Kingdom","Provision of risk capital","Ad Hoc Case","10/12/2004","6/29/2006","7/15/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","11/17/2005","Competition DG","Lloyds Banking Group (LBG)"
"267","NN39/2008","Netherlands","Soft loan","Ad Hoc Case","10/2/2004","10/2/2004","10/7/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/2/2004","Competition DG","Fortis Bank S.A./N.V"
"268","NN19/2009","Germany","Guarantee","Ad Hoc Case","9/30/2004","3/31/2005","9/29/2004","Article 4(3) - decision not to raise objections","Rescuing firms in difficulty","10/1/2004","Competition DG","Hypo Real Estate Holding AG"
"269","N232/2009","Sweden","Guarantee","Scheme","9/30/2004","4/29/2005","1/15/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","1/28/2005","Competition DG",""
"270","NN16/2009","Belgium","Provision of risk capital, Soft loan","Ad Hoc Case","9/29/2004","9/29/2004","9/29/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, Sectoral development","12/2/2004","Competition DG","Fortis"
"271","NN23/2009","Ireland","Guarantee","Scheme","9/29/2004","9/28/2006","9/29/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","10/12/2004","Competition DG",""
"272","N725/2009","Luxembourg","Other forms of equity intervention","Ad Hoc Case","9/29/2004","9/29/2004","9/30/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/2/2004","Competition DG","Fortis"
"273","NN12/2010","United Kingdom","Direct grant, Guarantee, Soft loan","Ad Hoc Case","9/28/2004","3/28/2005","9/29/2004","Article 4(3) - decision not to raise objections","Rescuing firms in difficulty","9/30/2004","Competition DG","Bradford & Bingley"
"274","NN11/2010","Denmark","Other forms of equity intervention, Soft loan","Ad Hoc Case","8/23/2004","10/29/2006","8/24/2004","Article 4(3) - decision not to raise objections","closure aid","11/4/2004","Competition DG","Roskilde Bank"
"275","SA.34224","Germany","Tax allowance, Tax base reduction","Scheme","8/19/2004","2/21/2018","8/5/2003","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision, Article 7(5) and 14(1) - negative decision without recovery","Risk capital","9/29/2005","Competition DG",""
"276","N715/2006","Denmark","Guarantee, Other forms of equity intervention","Ad Hoc Case","7/10/2004","8/23/2004","7/10/2004","Article 4(3) - decision not to raise objections","Rescuing firms in difficulty","7/30/2004","Competition DG","Roskilde Bank"
"277","N9/2009","Germany","Guarantee","Ad Hoc Case","2/7/2004","","8/7/2004","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision, Corrigendum","Restructuring firms in difficulty","4/15/2008","Competition DG","WestLB"
"278","SA.33639","Sweden","Direct grant","Ad Hoc Case","12/31/2003","12/30/2004","9/5/2003","Article 4(3) - decision not to raise objections","Services of general economic interest","12/10/2003","Competition DG","Posten AB"
"279","N660/2006","United Kingdom","Direct grant, Guarantee, Other forms of equity intervention, Soft loan","Ad Hoc Case","12/17/2003","12/30/2009","12/15/2003","Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision","Remedy for a serious disturbance in the economy, Restructuring firms in difficulty","10/27/2005","Competition DG","Northern Rock"
"280","NN54a/2008","United Kingdom","Guarantee, Other forms of equity intervention, Soft loan","Ad Hoc Case","9/16/2003","3/16/2004","9/19/2003","Article 4(3) - decision not to raise objections","Rescuing firms in difficulty","12/4/2003","Competition DG","Northern Rock"
"281","SA.34034","Belgium","Direct grant","Ad Hoc Case","8/5/2003","8/4/2006","1/3/2004","","Training","","Competition DG","Media Markt"
"282","N651/2009","Finland","Tax allowance","Ad Hoc Case","12/31/2002","","10/30/2002","Article 4(2) - decision does not constitute aid","Services of general economic interest","9/24/2003","Competition DG","Finnvera Oyj"
"283","N372/2009","Italy","Direct grant","Scheme","12/28/2002","12/30/2004","1/28/2003","","SMEs","","Competition DG","FRIULI VENEZIA GIULIA"
"284","N569/2008","Italy","Direct grant","Scheme","12/28/2002","12/30/2004","1/29/2003","","SMEs","","Competition DG","FRIULI VENEZIA GIULIA"
"285","SA.34539","Austria","Guarantee","Ad Hoc Case","12/31/2001","6/30/2003","5/3/2002","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision","Restructuring firms in difficulty","6/26/2003","Competition DG","BAWAG"
"286","SA.34066","France","Subsidised services","Ad Hoc Case","9/26/1987","12/30/2004","12/15/1993","Article 10(3) - information injunction, Article 23 - referral to Court of Justice (non-compliance with decisions), Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision, Article 7(5) and 14(1) - negative decision with recovery","Services of general economic interest","5/23/2007","Competition DG","Crédit Mutuel"
"287","X716/2009","Austria","Direct grant","Individual Application","","","3/19/2002","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(5) and 14(1) - negative decision with recovery","Sectoral development","4/29/2004","Competition DG","Bank Burgenland"
"288","SA.26909","Austria","Other forms of equity intervention","Individual Application","","","6/29/2006","Article 4(3) - decision not to raise objections","","12/18/2007","Competition DG","BAWAG"
"289","SA.33216","Austria","","Individual Application","","","10/19/2007","Article 4(2) - decision does not constitute aid","Other","12/19/2007","Competition DG","RZB and Hypo Niederösterreich"
"290","N582/2008","Austria","Guarantee","Individual Application","","","10/26/2001","Article 4(4) - decision to initiate the formal investigation procedure, Article 8(2) - withdrawal of notification (after formal investigation procedure)","Other","6/4/2003","Competition DG","Dornbirner Sparkasse Bank AG"
"291","SA.26351","Austria","Direct grant, Other forms of equity intervention","Individual Application","","","3/20/2007","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy, Rescuing firms in difficulty","6/22/2007","Competition DG",""
"292","NN71/2008","Belgium","Direct grant, Guarantee","Ad Hoc Case","","","11/19/2005","Article 4(3) - decision not to raise objections, Other","","12/21/2007","Competition DG","KBC"
"293","SA.33485","Belgium","Other forms of equity intervention","Individual Application","","","6/6/2003","Article 4(4) - decision to initiate the formal investigation procedure","","2/22/2007","Competition DG","SA Ducroire"
"294","SA.34288","Czech Republic","Guarantee, Other","Ad Hoc Case","","","12/22/1999","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision","Restructuring firms in difficulty","7/17/2003","Competition DG","Agrobanka"
"295","SA.33177","Denmark","Guarantee","Scheme","","","1/10/2008","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/16/2008","Competition DG",""
"296","SA.34227","Denmark","Direct grant, Other forms of equity intervention","Individual Application","","12/30/2010","5/31/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","7/17/2007","Competition DG","Fionia Bank"
"297","N690/2009","France","Direct grant","Scheme","","","6/22/2002","Article 4(2) - decision does not constitute aid","","11/11/2004","Competition DG","Banque Postale"
"298","N17/2009","France","Tax allowance, Tax deferment","Scheme","","","12/27/2002","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(5) only - negative decision on notified aid not put into effect","Social support to individual consumers","1/25/2007","Competition DG",""
"299","N649/2008","Germany","Guarantee, Other forms of equity intervention, Soft loan","Ad Hoc Case","","","8/2/2003","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision, Corrigendum","Restructuring firms in difficulty","2/1/2005","Competition DG","IKB"
"300","X729/2009","Germany","Other forms of equity intervention, Soft loan","Ad Hoc Case","","","8/19/2003","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision, Corrigendum","Restructuring firms in difficulty","8/7/2004","Competition DG","Sachsen LB"
"301","N244/2009","Germany","Guarantee, Other forms of equity intervention","Ad Hoc Case","","","3/9/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/28/2005","Competition DG","HSH Nordbank AG"
"302","N333/2009","Germany","Guarantee, Other","Individual Application","","","9/2/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","9/23/2006","Competition DG","Hypo Real Estate"
"303","NN68/2009","Germany","Other forms of equity intervention","Ad Hoc Case","","","10/8/2005","Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision, Corrigendum","Remedy for a serious disturbance in the economy","4/15/2008","Competition DG"," WestLB"
"304","SA.26674","Germany","Other","Ad Hoc Case","","","12/15/2005","Other","","1/13/2007","Competition DG","LBBW"
"305","SA.27900","Germany","Other forms of equity intervention","Ad Hoc Case","","","9/28/2006","Article 4(4) - decision to extend proceedings","","3/29/2007","Competition DG","Sparkasse Köln-Bonn"
"306","SA.33764","Germany","Guarantee, Other, Provision of risk capital","Scheme","","6/29/2008","2/9/2008","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, Rescuing firms in difficulty, Restructuring firms in difficulty","3/4/2008","Competition DG",""
"307","C88/1997","Germany","Guarantee","Scheme","","","1/25/1997","Article 18 - proposal for appropriate measures","Sectoral development","3/26/1998","Competition DG",""
"308","N648/2008","Germany","Debt write-off","Ad Hoc Case","","","3/20/2002","Article 4(2) - decision does not constitute aid, Corrigendum","Other","12/13/2003","Competition DG","WestLB"
"309","N662/2009","Germany","Guarantee","Ad Hoc Case","","","3/26/2004","Article 4(3) - decision not to raise objections, Corrigendum","Rescuing firms in difficulty","7/16/2004","Competition DG","WestLB"
"310","N664/2008","Germany","Other forms of equity intervention","Scheme","","","9/30/2000","Article 4(2) - decision does not constitute aid, Corrigendum","Other","12/12/2003","Competition DG","NordLB"
"311","NN18/2010","Greece","Guarantee, Other forms of equity intervention","Ad Hoc Case","","","6/23/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/22/2007","Competition DG","Agricultural Bank of Greece"
"312","SA.30704","Greece","Direct grant, Guarantee, Other forms of equity intervention","Scheme","","6/29/2007","3/22/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","4/3/2007","Competition DG",""
"313","SA.33757","Greece","Other forms of equity intervention","Scheme","","","9/4/2002","Article 4(2) - decision does not constitute aid","","10/9/2003","Competition DG",""
"314","SA.34345","Hungary","Guarantee","Ad Hoc Case","","","10/21/1999","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(5) and 14(1) - negative decision without recovery, Corrigendum","Sectoral development","10/20/2004","Competition DG","Postabank Rt. privatizációja"
"315","SA.29590","Ireland","Guarantee, Other forms of equity intervention, Soft loan","Ad Hoc Case","","","1/30/2007","Article 7(3) - positive decision","Remedy for a serious disturbance in the economy","6/28/2007","Competition DG","Anglo Irish Bank; Irish Nationwide Building Society"
"316","SA.34122","Italy","Tax allowance","Scheme","","","7/18/2000","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(5) and 14(1) - negative decision with recovery","Sectoral development","3/10/2004","Competition DG",""
"317","SA.33135","Italy","Guarantee","Scheme","","6/29/2008","12/6/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/14/2007","Competition DG",""
"318","SA.33178","Italy","Guarantee","Scheme","","","2/9/2008","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/21/2008","Competition DG",""
"319","XT3/2008","Italy","Other forms of equity intervention","Ad Hoc Case","","","6/6/2003","Article 4(4) - decision to initiate the formal investigation procedure","","2/22/2007","Competition DG","SACE BT"
"320","SA.33763","Lithuania","Guarantee, Other","Scheme","","6/29/2008","1/26/2008","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","3/5/2008","Competition DG",""
"321","SA.33805","Luxembourg","","Ad Hoc Case","","","2/28/2008","","","4/2/2008","Competition DG","Dexia"
"322","C9/2009","Netherlands","Direct grant","Ad Hoc Case","","7/30/2006","1/13/2006","Other","Remedy for a serious disturbance in the economy","2/4/2006","Competition DG","ABN AMRO NL and Fortis Bank NL"
"323","NN61/2009","Netherlands","Guarantee, Other forms of equity intervention","Ad Hoc Case","","","2/18/2005","Article 4(3) - decision not to raise objections, Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision, Corrigendum","Remedy for a serious disturbance in the economy","2/7/2006","Competition DG","ING"
"324","NN70/2007","Netherlands","Guarantee, Other, Other forms of equity intervention","Ad Hoc Case","","","11/19/2005","Article 4(4) - decision to initiate the formal investigation procedure, Other","","5/10/2008","Competition DG","ING"
"325","N433/2010","Poland","Direct grant","Ad Hoc Case","","12/30/2008","9/5/2006","Article 4(3) - decision not to raise objections","Employment, Regional development","11/9/2006","Competition DG","Citibank International Plc Oddział w Polsce"
"326","N555/2010","Poland","Direct grant","Ad Hoc Case","","12/30/2009","10/12/2006","Article 4(3) - decision not to raise objections","Employment, Regional development","1/12/2007","Competition DG","Nordea Bank AB Oddział w Polsce"
"327","SA.33311","Poland","Other forms of equity intervention","Scheme","","6/29/2008","12/12/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/26/2008","Competition DG",""
"328","SA.34077","Poland","Direct grant","Individual Application","","","12/12/2003","Article 4(3) - decision not to raise objections","Employment, Regional development","5/12/2004","Competition DG","MAN Accounting Center Sp."
"329","C50/2007","Poland","Direct grant","Ad Hoc Case","","12/30/2007","9/8/2006","Article 4(3) - decision not to raise objections","Employment, Regional development","11/14/2006","Competition DG","Geoban S.A. Oddział w Polsce"
"330","NN64/2008","Portugal","Guarantee","Ad Hoc Case","","","6/10/2005","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(5) and 14(1) - negative decision with recovery, Corrigendum","Remedy for a serious disturbance in the economy","7/19/2006","Competition DG","Banco privado portugues"
"331","NN41/2006","Portugal","Other forms of equity intervention","Scheme","","6/29/2007","12/22/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","1/20/2007","Competition DG",""
"332","NN46/2008","Portugal","Guarantee","Scheme","","6/29/2007","12/22/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","1/20/2007","Competition DG",""
"333","N262/2010","Slovenia","Soft loan","Scheme","","12/30/2006","7/15/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","8/23/2006","Competition DG",""
"334","N613/2008","Sweden","Direct grant","Individual Application","","12/30/2004","12/22/2001","Article 4(3) - decision not to raise objections","Other","11/21/2002","Competition DG","Posten AB"
"335","N392/2009","United Kingdom","Guarantee, Other forms of equity intervention","Ad Hoc Case","","","10/7/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","10/12/2004","Competition DG",""
"336","","","","","","","","","","","",""
"337","","","","","","","","","","","",""
"338","","","","","","","","","","","",""
"339","","","","","","","","","","","",""
"340","","","","","","","","","","","",""
"341","","","","","","","","","","","",""
"342","","","","","","","","","","","",""
"343","","","","","","","","","","","",""
"344","","","","","","","","","","","",""
"345","","","","","","","","","","","",""
"346","","","","","","","","","","","",""
"347","","","","","","","","","","","",""
"348","","","","","","","","","","","",""
"349","","","","","","","","","","","",""
"350","","","","","","","","","","","",""
"351","","","","","","","","","","","",""
"352","","","","","","","","","","","",""
"353","","","","","","","","","","","",""
"354","","","","","","","","","","","",""
"355","","","","","","","","","","","",""
"356","","","","","","","","","","","",""
"357","","","","","","","","","","","",""
"358","","","","","","","","","","","",""
"359","","","","","","","","","","","",""
"360","","","","","","","","","","","",""
"361","","","","","","","","","","","",""
"362","","","","","","","","","","","",""
"363","","","","","","","","","","","",""
"364","","","","","","","","","","","",""
"365","","","","","","","","","","","",""
"366","","","","","","","","","","","",""
"367","","","","","","","","","","","",""
"368","","","","","","","","","","","",""
"369","","","","","","","","","","","",""
"370","","","","","","","","","","","",""
"371","","","","","","","","","","","",""
"372","","","","","","","","","","","",""
"373","","","","","","","","","","","",""
"374","","","","","","","","","","","",""
"375","","","","","","","","","","","",""
"376","","","","","","","","","","","",""
"377","","","","","","","","","","","",""
"378","","","","","","","","","","","",""
"379","","","","","","","","","","","",""
"380","","","","","","","","","","","",""
"381","","","","","","","","","","","",""
"382","","","","","","","","","","","",""
"383","","","","","","","","","","","",""
"384","","","","","","","","","","","",""
"385","","","","","","","","","","","",""
"386","","","","","","","","","","","",""
"387","","","","","","","","","","","",""
"388","","","","","","","","","","","",""
"389","","","","","","","","","","","",""
"390","","","","","","","","","","","",""
"391","","","","","","","","","","","",""
"392","","","","","","","","","","","",""
"393","","","","","","","","","","","",""
"394","","","","","","","","","","","",""
"395","","","","","","","","","","","",""
"396","","","","","","","","","","","",""
"397","","","","","","","","","","","",""
"398","","","","","","","","","","","",""
"399","","","","","","","","","","","",""
"400","","","","","","","","","","","",""
"401","","","","","","","","","","","",""
"402","","","","","","","","","","","",""
"403","","","","","","","","","","","",""
"404","","","","","","","","","","","",""
"405","","","","","","","","","","","",""
"406","","","","","","","","","","","",""
"407","","","","","","","","","","","",""
"408","","","","","","","","","","","",""
"409","","","","","","","","","","","",""
"410","","","","","","","","","","","",""
"411","","","","","","","","","","","",""
"412","","","","","","","","","","","",""
"413","","","","","","","","","","","",""
"414","","","","","","","","","","","",""
"415","","","","","","","","","","","",""
"416","","","","","","","","","","","",""
"417","","","","","","","","","","","",""
